CO2,Year
20.031861684352233,1979
19.78250886970149,1980
19.41172449479576,1981
19.164990175102968,1982
19.310267766172142,1983
19.942496821868325,1984
20.20656267328064,1985
20.56553523321909,1986
21.224640642712153,1987
21.984330890672613,1988
22.370547936871073,1989
22.6804076458686,1990
22.809536297636562,1991
22.70974381823781,1992
22.802889536558094,1993
23.033288262428467,1994
23.67935568549968,1995
24.145461586694836,1996
24.59816550186461,1997
24.75632052481369,1998
24.93961669850151,1999
25.725448476800583,2000
26.031174557958064,2001
26.43330143933464,2002
27.65683270282675,2003
28.948758323006196,2004
30.04455531704507,2005
31.06510816335793,2006
32.2325304287898,2007
32.431271463193696,2008
32.020697928627825,2009
34.00367076736887,2010
35.05958972836099,2011
35.52172903371658,2012
36.221159833021964,2013
36.42779094866711,2014
36.30049064931545,2015
36.42367557383895,2016
37.04748470955855,2017
37.974568192751924,2018
38.06645052742118,2019
36.154321504133996,2020
38.1210297863798,2021
38.24663894134803,2022
39.023952707346794,2023
