Date,Std_AAO
2007-01,-0.083
2007-02,0.075
2007-03,-0.57
2007-04,-1.035
2007-05,-0.612
2007-06,-1.198
2007-07,-2.631
2007-08,-0.108
2007-09,0.031
2007-10,-0.434
2007-11,-0.984
2007-12,1.929
2008-01,1.208
2008-02,1.147
2008-03,0.587
2008-04,-0.873
2008-05,-0.49
2008-06,1.348
2008-07,0.32
2008-08,0.087
2008-09,1.386
2008-10,1.215
2008-11,0.92
2008-12,1.194
2009-01,0.963
2009-02,0.456
2009-03,0.605
2009-04,0.029
2009-05,-0.733
2009-06,-0.47
2009-07,-1.234
2009-08,-0.686
2009-09,-0.017
2009-10,0.085
2009-11,-1.915
2009-12,0.607
2010-01,-0.757
2010-02,-0.775
2010-03,0.108
2010-04,0.377
2010-05,1.021
2010-06,2.071
2010-07,2.424
2010-08,1.51
2010-09,0.402
2010-10,1.335
2010-11,1.516
2010-12,0.205
2011-01,0.052
2011-02,1.074
2011-03,-0.296
2011-04,-0.87
2011-05,1.266
2011-06,-0.099
2011-07,-1.384
2011-08,-1.202
2011-09,-1.25
2011-10,0.388
2011-11,-0.908
2011-12,2.573
2012-01,1.583
2012-02,-0.283
2012-03,0.275
2012-04,0.666
2012-05,0.153
2012-06,-0.197
2012-07,1.259
2012-08,0.489
2012-09,0.562
2012-10,-0.444
2012-11,-1.701
2012-12,-0.764
2013-01,0.071
2013-02,0.716
2013-03,1.375
2013-04,0.611
2013-05,0.36
2013-06,-0.271
2013-07,0.945
2013-08,-1.561
2013-09,-1.658
2013-10,-0.458
2013-11,0.189
2013-12,0.061
2014-01,-0.683
2014-02,0.322
2014-03,0.467
2014-04,0.614
2014-05,-0.445
2014-06,0.841
2014-07,0.247
2014-08,-0.059
2014-09,-1.119
2014-10,-0.039
2014-11,-0.519
2014-12,1.322
2015-01,0.675
2015-02,1.217
2015-03,0.773
2015-04,1.029
2015-05,0.416
2015-06,0.711
2015-07,1.678
2015-08,1.062
2015-09,0.542
2015-10,-0.17
2015-11,0.695
2015-12,-0.059
2016-01,1.392
2016-02,1.093
2016-03,2.038
2016-04,0.097
2016-05,0.012
2016-06,2.565
2016-07,0.407
2016-08,-0.739
2016-09,2.333
2016-10,-0.177
2016-11,-1.508
2016-12,-0.711
2017-01,-0.982
2017-02,-0.015
2017-03,0.156
2017-04,0.619
2017-05,1.053
2017-06,0.546
2017-07,0.728
2017-08,0.764
2017-09,1.296
2017-10,-0.568
2017-11,0.771
2017-12,0.984
2018-01,1.275
2018-02,1.041
2018-03,0.141
2018-04,-1.166
2018-05,-0.077
2018-06,-0.012
2018-07,0.377
2018-08,-0.343
2018-09,1.458
2018-10,0.53
2018-11,0.991
2018-12,0.93
2019-01,0.677
2019-02,-0.5
2019-03,0.745
2019-04,0.336
2019-05,0.335
2019-06,1.465
2019-07,-0.39
2019-08,-1.08
2019-09,0.563
2019-10,-0.925
2019-11,-1.84
2019-12,-1.36
2020-01,-0.231
2020-02,0.275
2020-03,1.426
2020-04,-0.475
2020-05,0.577
2020-06,1.071
2020-07,-0.546
2020-08,-0.72
2020-09,0.194
2020-10,1.264
2020-11,0.813
2020-12,1.481
2021-01,1.045
2021-02,1.344
2021-03,0.086
2021-04,0.827
2021-05,0.314
2021-06,1.179
2021-07,-0.46
2021-08,-0.227
2021-09,1.336
2021-10,0.453
