CO2,Year,std_CO2
20.031861684352233,1979,-1.210427972948429
19.78250886970149,1980,-1.2475477076403614
19.41172449479576,1981,-1.3027442677581715
19.164990175102968,1982,-1.3394742020050305
19.310267766172142,1983,-1.317847553656488
19.942496821868325,1984,-1.2237312115376142
20.20656267328064,1985,-1.1844212307806143
20.56553523321909,1986,-1.130983028347396
21.224640642712153,1987,-1.032865756366054
21.984330890672613,1988,-0.9197749918128703
22.370547936871073,1989,-0.8622810577320822
22.6804076458686,1990,-0.8161540059648189
22.809536297636562,1991,-0.7969313583220904
22.70974381823781,1992,-0.8117868969079303
22.802889536558094,1993,-0.7979208238235688
23.033288262428467,1994,-0.763622676479026
23.67935568549968,1995,-0.6674462953497646
24.145461586694836,1996,-0.5980597619956407
24.59816550186461,1997,-0.5306683060434061
24.75632052481369,1998,-0.5071246676838825
24.93961669850151,1999,-0.4798384092677977
25.725448476800583,2000,-0.36285610383921013
26.031174557958064,2001,-0.31734440172802547
26.43330143933464,2002,-0.257482061011719
27.65683270282675,2003,-0.07534192374586901
28.948758323006196,2004,0.11697969223404797
30.04455531704507,2005,0.2801047556182848
31.06510816335793,2006,0.43202865087204684
32.2325304287898,2007,0.6058161608585801
32.431271463193696,2008,0.6354016078077384
32.020697928627825,2009,0.5742818618928555
34.00367076736887,2010,0.8694757452202792
35.05958972836099,2011,1.0266643927320709
35.52172903371658,2012,1.0954604415336102
36.221159833021964,2013,1.1995807248436146
36.42779094866711,2014,1.230340723292354
36.30049064931545,2015,1.2113902520704607
36.42367557383895,2016,1.2297280908582944
37.04748470955855,2017,1.3225910073998564
37.974568192751924,2018,1.4606006504095486
38.06645052742118,2019,1.4742786507584726
36.154321504133996,2020,1.1896308831341933
38.1210297863798,2021,1.4824035544819931
38.24663894134803,2022,1.5011022746621896
39.023952707346794,2023,1.6168165520673805
